,TrigNo,T50,T90,F1,F2,F3,F4,P64,P256,P1024
536,2513,0.448,1.408,2.07E-08,5.19E-08,5.84E-08,1.24E-06,0.946,0.78,0.398
537,2514,0.112,0.2,1.04E-07,2.09E-07,8.93E-07,2.16E-06,28.405,18.152,4.732
538,2515,2.848,10.528,6.09E-08,9.88E-08,3.17E-07,0,1.01,0.861,0.713
539,2519,62.848,90.24,9.30E-07,1.35E-06,2.64E-06,1.21E-06,1.68,1.529,1.293
540,2522,56.704,83.072,1.89E-06,2.75E-06,1.08E-05,6.22E-06,3.861,3.228,2.367
541,2523,0.312,0.68,1.81E-08,2.55E-08,1.77E-07,7.50E-07,1.557,1.373,0.821
542,2528,9.12,61.92,2.73E-07,1.99E-07,3.16E-07,0,0.71,0.507,0.387
543,2529,0.192,0.256,4.63E-08,1.28E-08,4.41E-08,6.05E-08,1.068,0.69,0.198
544,2530,81.6,194.88,3.99E-06,5.01E-06,9.96E-06,6.36E-07,2.033,1.86,1.732
545,2533,25.984,74.304,4.58E-06,1.02E-05,4.92E-05,0.000138,10.27,8.918,7.898
546,2536,0.128,0.128,4.94E-09,5.79E-09,1.48E-08,2.17E-07,1.143,0.38,0.146
547,2537,3.008,4.8,3.92E-06,4.44E-06,1.01E-05,1.22E-06,27.283,25.572,19.506
548,2541,35.808,89.376,5.88E-07,6.56E-07,1.09E-06,3.37E-06,1.27,1.201,0.881
549,2551,28.128,63.392,0,1.22E-07,5.50E-07,2.65E-07,0.76,0.575,0.472
550,2560,6.08,17.792,2.17E-07,3.07E-07,1.77E-06,4.14E-06,1.08,0.935,0.794
551,2564,0.128,0.256,3.87E-08,1.73E-08,1.07E-07,7.01E-07,1.933,1.147,0.359
552,2569,8.832,23.68,2.18E-07,1.94E-07,3.96E-07,8.06E-07,1.158,1.026,0.85
553,2570,6.208,13.824,4.14E-07,9.32E-07,3.76E-06,4.90E-06,2.787,2.556,2.229
554,2581,51.264,104.352,7.64E-07,7.96E-07,2.23E-06,4.40E-06,1.947,1.659,1.129
555,2583,0.128,0.256,1.86E-08,5.84E-08,2.85E-07,1.44E-06,9.681,4.525,1.2
556,2585,0.448,0.832,1.87E-08,2.84E-08,3.99E-08,0,0.683,0.593,0.393
557,2586,7.936,12.864,7.79E-07,1.70E-06,7.19E-06,4.85E-06,10.193,8.642,5.951
558,2589,31.072,55.968,2.24E-07,1.84E-07,3.13E-07,9.59E-07,0.881,0.725,0.622
559,2593,9.216,29.888,7.41E-07,7.18E-07,1.21E-06,1.64E-06,1.723,1.562,1.446
560,2597,0.136,0.256,2.57E-09,7.76E-09,5.01E-08,4.65E-08,1.625,0.883,0.271
561,2599,0.064,0.176,4.37E-09,2.84E-09,5.48E-08,7.69E-07,1.879,0.78,0.309
562,2600,9.792,31.808,6.76E-07,1.31E-06,2.25E-06,0,1.453,1.38,1.212
563,2603,9.408,24.704,1.95E-06,2.60E-06,3.58E-06,1.27E-06,3.396,3.192,3.064
